n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
0,0.6336,112.8,0.3181467452300848,"[13, 14]","[0.11060606060605985, 0.0744949494949501]","[13, 9]","[0.3215207631874297, 0.00664983164983163]"
10,0.8252,203.0,0.29222814671190966,"[13, 14]","[0.16771691711099967, 0.04546776539020882]","[13, 8]","[0.24715893790057888, 0.00868207033985025]"
20,0.908,208.2,0.2503622124327016,"[13, 14]","[0.1365638766519801, 0.04722466960352467]","[13, 8]","[0.2065687714145899, 0.012755751346059675]"
30,0.9344,262.2,0.22581811263318574,"[13, 14]","[0.19537671232876097, 0.021832191780821998]","[13, 8]","[0.17822488584474977, 0.008266742770167401]"
40,0.966,335.6,0.14799171842649775,"[13, 8]","[0.136645962732917, 0.015072463768115933]","[13, 8]","[0.10793650793651108, 0.007775477340694707]"
50,0.9492,328.4,0.08922601488972996,"[13, 8]","[0.13737884534344394, 0.007669616519174029]","[13, 4]","[0.022100482277473944, 0.004598024067050601]"
