n_seeded_agents,cooperation_mean,fairness_mean
0,0.0551636,-0.11111111111111102
1,0.05505368,-0.11111111111111102
2,0.05494479999999999,-0.11111111111111102
3,0.05478199999999999,-0.11111111111111102
4,0.054948319999999995,-0.11111111111111102
5,0.05489416000000001,-0.11111111111111102
6,0.054853360000000004,-0.11111111111111102
7,0.05486735999999999,-0.11111111111111102
8,0.05507215999999999,-0.11111111111111102
9,0.05505064000000002,-0.11111111111111102
10,0.05496408000000001,-0.11111111111111102
11,0.05485992000000001,-0.11111111111111102
12,0.05472448,-0.11111111111111102
13,0.05487376,-0.11111111111111102
14,0.054838799999999986,-0.11111111111111102
15,0.054831840000000014,-0.11111111111111102
16,0.0548352,-0.11111111111111102
17,0.05504191999999999,-0.11111111111111102
18,0.05503223999999998,-0.11111111111111102
19,0.054961520000000014,-0.11111111111111102
20,0.054851919999999985,-0.11111111111111102
21,0.05470864,-0.11111111111111102
22,0.0548788,-0.11111111111111102
23,0.054841680000000004,-0.11111111111111102
24,0.05484456,-0.11111111111111102
25,0.0548492,-0.11111111111111102
26,0.05506287999999998,-0.11111111111111102
27,0.05504431999999999,-0.11111111111111102
28,0.054943119999999984,-0.11111111111111102
29,0.054869120000000014,-0.11111111111111102
30,0.05471704000000001,-0.11111111111111102
31,0.05490047999999996,-0.11111111111111102
32,0.05487447999999999,-0.11111111111111102
33,0.05486416,-0.11111111111111102
34,0.05490071999999999,-0.11111111111111102
35,0.0550864,-0.11111111111111102
36,0.05511544000000001,-0.11111111111111102
37,0.055028320000000006,-0.11111111111111102
38,0.054946320000000014,-0.11111111111111102
39,0.054811519999999996,-0.11111111111111102
40,0.05502719999999999,-0.11111111111111102
41,0.05494704,-0.11111111111111102
42,0.05499495999999999,-0.11111111111111102
43,0.05497127999999999,-0.11111111111111102
44,0.055234240000000004,-0.11111111111111102
45,0.055209600000000005,-0.11111111111111102
46,0.05517920000000001,-0.11111111111111102
47,0.05502983999999999,-0.11111111111111102
48,0.054944480000000004,-0.11111111111111102
49,0.055121680000000006,-0.11111111111111102
50,0.05511648,-0.11111111111111102
