n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
0,0.0112,2.4,0.5944444444444449,"[15, 14]","[0.21428571428571433, 0.2000000000000001]","[13, 14]","[0.17698412698412702, 0.16031746031746033]"
10,0.4256,66.0,0.5646512113617437,"[14, 13]","[0.21842105263157766, 0.12236842105263267]","[13, 14]","[0.18159983291562248, 0.16593567251462057]"
20,0.6988,125.4,0.4927749157285484,"[14, 15]","[0.22724670864338295, 0.08712077847738971]","[14, 13]","[0.174292437829932, 0.15138332379317018]"
30,0.8064,203.2,0.39846781305115553,"[13, 15]","[0.12509920634920466, 0.09553571428571285]","[14, 13]","[0.18928571428571533, 0.12053571428571579]"
40,0.8668,213.4,0.330410706045226,"[13, 14]","[0.1543147208121792, 0.0814028610982919]","[14, 13]","[0.19052453468697342, 0.05891401322873559]"
50,0.9408,301.4,0.24301303854875678,"[13, 14]","[0.1421768707482968, 0.01734693877551023]","[14, 13]","[0.19934807256236028, 0.024829931972789973]"
