n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
10,0.00132,0.66,0.6885521885521888,"[8, 2]","[0.09696969696969698, 0.0787878787878788]","[4, 5]","[0.08148148148148147, 0.0734006734006734]"
20,0.00508,2.42,0.5482064741907257,"[8, 2]","[0.07086614173228346, 0.0566929133858268]","[4, 0]","[0.10306211723534546, 0.056867891513560746]"
30,0.00804,3.94,0.4224433388612492,"[8, 2]","[0.07761194029850739, 0.04079601990049753]","[4, 8]","[0.12338308457711418, 0.033388612493090046]"
40,0.01156,5.56,0.2909650134563631,"[8, 14]","[0.1038062283737022, 0.020069204152249144]","[4, 13]","[0.15371011149557878, 0.018069973087274083]"
50,0.01536,7.6,0.1581597222222231,"[8, 0]","[0.1395833333333334, 0.0]","[4, 6]","[0.17534722222222252, 0.0007523148148148147]"
