n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
0,0.8696,405.8,0.0876060513135023,"[14, 11]","[0.08721251149953997, 0.043790248390064686]","[2, 7]","[0.006265971583358878, 0.00605131350301542]"
10,0.9376,442.6,0.08184489950701629,"[14, 6]","[0.11143344709897661, 0.006569965870307159]","[8, 13]","[0.0154626469472888, 0.01090254076602197]"
20,0.9928,474.4,0.0612095979944484,"[14, 8]","[0.06889605157131311, 0.004512489927477837]","[13, 8]","[0.023439878234399223, 0.010009848688333753]"
30,0.998,498.2,0.03762636383878868,"[14, 8]","[0.033747494989980226, 0.004649298597194386]","[13, 8]","[0.020057893564907763, 0.007374749498997974]"
40,0.9996,499.6,0.017255791205371268,"[14, 8]","[0.00848339335734292, 0.0029611844737895176]","[13, 8]","[0.009417100173402663, 0.004277266462140399]"
50,1.0,500.0,0.002119999999999995,"[8, 0]","[0.0013600000000000003, 0.0]","[4, 8]","[0.001422222222222219, 0.0013866666666666634]"
