n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
10,0.00232,1.0,0.6624521072796932,"[2, 10]","[0.06551724137931036, 0.058620689655172434]","[4, 8]","[0.09999999999999996, 0.09731800766283524]"
20,0.01148,5.04,0.5348432055749137,"[8, 2]","[0.10522648083623673, 0.04808362369337974]","[4, 8]","[0.12365466511807963, 0.08145567169957393]"
30,0.02344,10.2,0.41981418278346494,"[8, 14]","[0.11194539249146802, 0.04607508532423199]","[4, 13]","[0.15111869548729695, 0.06731133864239677]"
40,0.03812,16.42,0.2894718433018521,"[8, 14]","[0.11857292759706278, 0.03315844700944378]","[4, 13]","[0.16763437099218914, 0.036656173487233316]"
50,0.05164,25.4,0.15366210517256113,"[8, 13]","[0.10534469403563185, 0.011773818745158779]","[4, 8]","[0.1694121697220078, 0.010895946294861843]"
