n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
10,0.00192,0.88,0.6872685185185184,"[2, 8]","[0.10000000000000003, 0.08750000000000002]","[4, 1]","[0.08518518518518518, 0.07546296296296297]"
20,0.00716,3.38,0.5505896958410915,"[8, 2]","[0.08156424581005582, 0.04357541899441343]","[4, 8]","[0.10117939168218476, 0.057355679702048294]"
30,0.01724,7.7,0.4169373549883975,"[8, 10]","[0.07981438515081196, 0.04454756380510432]","[4, 8]","[0.1329724155710238, 0.0382572828048465]"
40,0.03108,14.26,0.2973258973258963,"[8, 14]","[0.10913770913770982, 0.02574002574002569]","[4, 13]","[0.15975975975976067, 0.024939224939224864]"
50,0.04788,23.32,0.15313283208019962,"[8, 13]","[0.107268170426066, 0.01203007518796991]","[4, 14]","[0.15978835978836065, 0.007407407407407389]"
