n_seeded_agents,cooperation_mean,fairness_mean
0,0.05614344000000002,0.5429994953971339
1,0.05602624,0.5404636423736647
2,0.055877039999999996,0.5409034951130137
3,0.05602424,0.5392207831319904
4,0.05599527999999999,0.5434115221997571
5,0.05599160000000001,0.545733635339925
6,0.05599344000000001,0.5449329636101475
7,0.056241120000000006,0.5434972292602142
8,0.05618968000000001,0.5496358535035444
9,0.05616096000000002,0.549474728516638
10,0.05602584,0.5516589704111252
11,0.05592928,0.5523708787090802
12,0.05609527999999999,0.5519197950188108
13,0.05611327999999999,0.5528626440377535
14,0.05613879999999999,0.5568457163554733
15,0.05613519999999998,0.5615291109284523
16,0.05634992,0.5650743304623779
17,0.056413520000000016,0.5625943703592313
18,0.05635015999999998,0.562974302927425
19,0.05628600000000002,0.5656854561181381
20,0.05614240000000001,0.565176356944856
21,0.056362,0.5652445865704895
22,0.05641128,0.5668270127525563
23,0.056473520000000006,0.5766158445591663
24,0.05653792000000001,0.572215780888371
25,0.05679224000000001,0.5757356015839851
26,0.056761919999999993,0.573784271791502
27,0.05683376000000001,0.5787933375916863
28,0.05668911999999999,0.5842474303204718
29,0.05668567999999999,0.5780169714573017
30,0.0568732,0.5864994009914326
31,0.056943519999999984,0.5904242749235699
32,0.05698232,0.5918576265029619
33,0.05704247999999998,0.5909338306178
34,0.057366,0.5972086941174777
35,0.05736552,0.5939663448433754
36,0.05731992000000002,0.6021471626821377
37,0.057414559999999996,0.6046599525158903
38,0.05721336,0.6072551834211471
39,0.05752424,0.6088218555540404
40,0.05749799999999999,0.609514454940889
41,0.05761720000000001,0.6133089194795344
42,0.05762848,0.6130038338715168
43,0.058051759999999994,0.6214892221945855
44,0.05811736,0.626796434073105
45,0.058107999999999986,0.6260649891508239
46,0.057992079999999974,0.628770506477751
47,0.058087520000000004,0.6270463070440427
48,0.05829143999999996,0.6353032553675443
49,0.058400480000000005,0.6330763467238345
50,0.058530400000000024,0.6359368546904247
