n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
0,0.40388,80.28,0.3378737358731214,"[13, 14]","[0.13920966623750844, 0.08547093195999157]","[13, 8]","[0.31117933819727234, 0.008237870434562899]"
10,0.795,158.44,0.3247474493361169,"[13, 14]","[0.15021886792451644, 0.07236226415095168]","[13, 8]","[0.29336128581413334, 0.010100908455625215]"
20,0.8684,181.54,0.28055632325091917,"[13, 14]","[0.1550529709811053, 0.056840165822207016]","[13, 8]","[0.2385290956548598, 0.008869440605967333]"
30,0.89252,235.74,0.22913000393389835,"[13, 14]","[0.16039976695199012, 0.048509837314574665]","[13, 8]","[0.17515150609759314, 0.007294203180009806]"
40,0.93256,273.88,0.15873914576833892,"[13, 14]","[0.15406193703352936, 0.01435189156729817]","[13, 8]","[0.1117239998856317, 0.005009865316977427]"
50,0.92748,303.4,0.10170162399426351,"[13, 8]","[0.1585371113123612, 0.004183378617328711]","[13, 8]","[0.031290521987902144, 0.0037942716943884865]"
