n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
10,0.00052,0.26,0.707692307692308,"[2, 1]","[0.10769230769230768, 0.09230769230769233]","[4, 5]","[0.07692307692307693, 0.07008547008547009]"
20,0.00236,1.18,0.5468926553672316,"[2, 8]","[0.08135593220338985, 0.07118644067796612]","[4, 0]","[0.0911487758945386, 0.07156308851224102]"
30,0.00328,1.64,0.436178861788618,"[8, 2]","[0.09512195121951224, 0.04634146341463416]","[4, 0]","[0.12737127371273704, 0.03848238482384823]"
40,0.0034,1.7,0.2754248366013071,"[8, 3]","[0.0894117647058824, 0.03058823529411765]","[4, 1]","[0.13019607843137254, 0.0196078431372549]"
50,0.0036,1.8,0.14419753086419734,"[8, 0]","[0.13333333333333336, 0.0]","[4, 0]","[0.1550617283950618, 0.0]"
