n_seeded_agents,cooperation_mean,fairness_mean
0,0.061414,0.6209546129654767
2,0.06158920000000001,0.624098830502564
4,0.062006399999999996,0.6247552582080158
6,0.06157520000000001,0.6231073460824785
8,0.0629832,0.6414781719839039
10,0.0629796,0.6524504210546511
12,0.064074,0.6553296897183775
14,0.0643932,0.6576118306206419
16,0.0656728,0.673052866563394
18,0.06619,0.6717016365470985
20,0.06609879999999999,0.6618295995377594
22,0.0692672,0.6903716774374908
24,0.06981,0.6974789492057654
26,0.072232,0.7043094910882071
28,0.07226,0.7021944712450312
30,0.07346359999999999,0.6888296015357502
32,0.075314,0.7083064615855057
34,0.0772508,0.6997784902987559
36,0.0794108,0.7258015156725317
38,0.07959,0.713023421018883
40,0.08303599999999998,0.7381744464566615
42,0.07963040000000002,0.697097977204522
44,0.08861959999999999,0.7288474267789122
46,0.0855624,0.7176228481516913
48,0.08942040000000002,0.7255913735362757
50,0.0869996,0.7203603168600113
