n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
0,0.66544,317.16,0.08209037963185138,"[14, 11]","[0.04705458042798951, 0.028708824236594266]","[8, 2]","[0.01644626112046144, 0.015210654270524301]"
10,0.95344,455.62,0.07386772575561895,"[11, 14]","[0.031146165464005008, 0.029535156905521238]","[2, 8]","[0.01903563237679724, 0.010684119259383238]"
20,0.987,468.24,0.07770167736124095,"[11, 14]","[0.03204052684903808, 0.0304761904761917]","[2, 7]","[0.01591264212540812, 0.01143847799166953]"
30,0.993,488.38,0.05970996978851244,"[14, 11]","[0.025514602215508934, 0.015226586102718568]","[2, 7]","[0.013326172093543556, 0.010420499048897877]"
40,0.99992,499.62,0.040100985856646475,"[11, 14]","[0.010312825026001837, 0.007112569005520374]","[2, 1]","[0.012876585682409895, 0.00910739525828704]"
50,1.0,500.0,0.021577333333337664,"[2, 8]","[0.006287999999999987, 0.0037120000000000304]","[2, 1]","[0.009783999999999517, 0.00913333333333306]"
