n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
0,4.0e-5,0.02,0.8444444444444444,"[1, 2]","[0.2, 0.2]","[0, 8]","[0.1111111111111111, 0.1111111111111111]"
10,0.01028,2.56,0.6159965412883704,"[8, 14]","[0.12217898832684797, 0.072373540856031]","[4, 13]","[0.1343709468223085, 0.12105490704712463]"
20,0.1718,29.56,0.35561246927952395,"[8, 13]","[0.13057043073340796, 0.06286379511059248]","[13, 4]","[0.11123011253395343, 0.09689302806881343]"
30,0.3274,64.18,0.3176284531324105,"[8, 13]","[0.13265729993891995, 0.06917532070861215]","[13, 4]","[0.09709088440914995, 0.09538043847146166]"
40,0.475,116.06,0.24704935672511844,"[8, 13]","[0.10088421052632343, 0.07213473684210846]","[4, 8]","[0.0927681871345061, 0.07557239766082205]"
50,0.65484,158.62,0.19442102905540895,"[8, 13]","[0.09575468816811317, 0.07215197605522602]","[4, 8]","[0.09131458744799624, 0.0734021542157925]"
