n_seeded_agents,cooperation_mean,fairness_mean
0,0.8603175999999999,0.9784597832074489
1,0.8642144,0.9761148925677965
2,0.8603168,0.972522877769818
3,0.8611527999999999,0.9791026528345276
4,0.8674408000000001,0.9839933550444269
5,0.8641392,0.9847093623288747
6,0.8665616,0.9792751083092351
7,0.8668784,0.9830473713514778
8,0.8675456,0.9835613701758158
9,0.8687760000000001,0.9846001672721275
10,0.8687104,0.9772770292137223
11,0.8691768,0.9819566285115447
12,0.868516,0.9833936242038559
13,0.8696904,0.9909674249629383
14,0.8715144,0.9872609877488866
15,0.8703063999999999,0.9887902236896429
16,0.8715672,0.9816147336210422
17,0.8701160000000001,0.9848324821478247
18,0.8728248000000001,0.9864227224147293
19,0.8721207999999999,0.9835180491034631
20,0.8734480000000001,0.9869378722005873
21,0.8735367999999999,0.9881151356926455
22,0.8724464,0.9878547544783164
23,0.8730408000000001,0.9866200390439994
24,0.8741512,0.9885881236954386
25,0.8766928,0.9909124351828632
26,0.8756832000000001,0.9895261140349321
27,0.8758904000000001,0.9891559849756864
28,0.8753736,0.994422771923734
29,0.8771751999999999,0.9918902965247425
30,0.8755919999999999,0.9916864491454422
31,0.8752599999999999,0.9929230806934747
32,0.8761656,0.9928391578140126
33,0.8758936,0.9889952964690572
34,0.8779087999999999,0.9942319839313292
35,0.8775943999999999,0.9905251778524798
36,0.8775944000000001,0.9939875303774978
37,0.876648,0.9866265966773575
38,0.878656,0.9943922219316509
39,0.8765936,0.9907701758892159
40,0.8771559999999999,0.991506058589108
41,0.8780391999999999,0.9940134441109139
42,0.8785847999999999,0.9930716916077363
43,0.8789024,0.9927548421625957
44,0.8786856000000001,0.9925338361608693
45,0.8786767999999998,0.9915816754532234
46,0.8792184000000001,0.994635325231199
47,0.8786848,0.9944291768408094
48,0.8798672,0.9914297432026162
49,0.8776111999999999,0.9936558685051677
50,0.8790112000000001,0.9951246485217755
