n_seeded_agents,cooperation_mean,fairness_mean
0,0.8488348,0.9858625686343215
2,0.8586928,0.9755343263123761
4,0.8586772,0.9841261604274578
6,0.8594456000000001,0.9831213710785651
8,0.8630739999999999,0.9834387835186524
10,0.8626416000000001,0.9796404241575087
12,0.8656136,0.9801005216764758
14,0.8667904,0.9856083355820162
16,0.8672055999999999,0.9829769826162378
18,0.8683084000000001,0.985755205496757
20,0.8689039999999999,0.9871523592244319
22,0.8685784,0.9854244048971385
24,0.869374,0.9864243091141944
26,0.8711304,0.9893804247250978
28,0.8711895999999999,0.9916102514425227
30,0.8713563999999998,0.9935402302798246
32,0.8717931999999999,0.9893339528632348
34,0.8727928,0.9930820446625896
36,0.8719060000000001,0.9918072613224609
38,0.8733492,0.9943574733062567
40,0.8724336000000001,0.9923842144779975
42,0.8740368000000001,0.9940493330221043
44,0.8733331999999999,0.991947801072776
46,0.8741863999999999,0.9926858393523986
48,0.8756280000000001,0.9923260061803398
50,0.8743055999999999,0.9954565354862133
