n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
10,0.00092,0.46,0.6850241545893724,"[2, 8]","[0.06956521739130435, 0.06956521739130435]","[4, 0]","[0.08792270531400966, 0.07922705314009662]"
20,0.00336,1.64,0.5436507936507935,"[8, 2]","[0.05952380952380955, 0.054761904761904776]","[4, 0]","[0.09708994708994702, 0.06322751322751319]"
30,0.0044,2.2,0.41616161616161595,"[8, 2]","[0.07090909090909095, 0.043636363636363654]","[4, 1]","[0.10929292929292919, 0.03474747474747472]"
40,0.00536,2.64,0.2815091210613601,"[8, 6]","[0.1104477611940298, 0.019402985074626865]","[4, 0]","[0.12354892205638471, 0.016749585406301806]"
50,0.00612,3.04,0.1381263616557734,"[8, 0]","[0.13202614379084956, 0.0]","[4, 0]","[0.144226579520697, 0.0]"
