n_seeded_agents ,frequency_optimal_mode ,longest_run_optimal_mean ,pct_other_mean      ,min_top_strategies ,min_top_freq                                  ,maj_top_strategies ,maj_top_freq
             10 ,                0.5132 ,                    74.2 ,0.24470425218671424 ,"[13, 8]"          ,"[0.10880748246297793, 0.07123928293063185]"  ,"[13, 8]"          ,"[0.15138131116307338, 0.04298952108772894]"
             20 ,                0.9312 ,                   180.8 ,0.238869797632689   ,"[13, 8]"          ,"[0.09158075601374506, 0.07603092783505146]"  ,"[13, 8]"          ,"[0.16337342497136315, 0.03544291714394914]"
             30 ,                0.9392 ,                   254.4 ,0.2018975960628443  ,"[13, 8]"          ,"[0.1007666098807484, 0.05749574105621839]"   ,"[13, 8]"          ,"[0.13135529055460973, 0.03287904599659394]"
             40 ,                0.982  ,                   296.8 ,0.1500565738854945  ,"[13, 8]"          ,"[0.09914460285132283, 0.04570264765784154]"  ,"[13, 8]"          ,"[0.07572754016746021, 0.0263679565512566]"
             50 ,                0.9364 ,                   257.2 ,0.11085955669466771 ,"[13, 8]"          ,"[0.11302862024775619, 0.022810764630499865]" ,"[4, 8]"           ,"[0.027139399117187026, 0.025269353077982358]"
