n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
0,0.9084,452.0,0.06072704144038312,"[14, 8]","[0.060678115367679655, 0.004227212681638044]","[2, 13]","[0.011615049659963765, 0.007241058760213297]"
10,0.9416,446.6,0.07746625129802774,"[14, 8]","[0.10832625318606633, 0.005607476635514013]","[8, 13]","[0.011970168979514738, 0.009770603228547127]"
20,0.9956,492.2,0.06245256908173653,"[14, 8]","[0.06098834873443147, 0.010204901566894312]","[13, 8]","[0.017838489353154224, 0.012794071693227946]"
30,0.998,498.2,0.04426185704742778,"[14, 8]","[0.03687374749499029, 0.006733466933867724]","[13, 8]","[0.019202850144734045, 0.011035404141616531]"
40,0.9996,499.6,0.02132853141256559,"[14, 8]","[0.006722689075630241, 0.005362144857943171]","[8, 13]","[0.008892445867235754, 0.008465608465608442]"
50,1.0,500.0,0.006351111111111093,"[8, 0]","[0.005279999999999994, 0.0]","[4, 8]","[0.004391111111111097, 0.0028888888888888805]"
