n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
0,0.1296,15.8,0.5697873799725647,"[14, 15]","[0.28641975308642076, 0.14629629629629637]","[13, 14]","[0.18127572016460908, 0.16193415637860115]"
10,0.4012,32.0,0.5452420516229127,"[14, 15]","[0.23808574277168235, 0.10787637088733866]","[14, 13]","[0.1836268970865186, 0.1746981278387069]"
20,0.778,113.6,0.4573607540702681,"[14, 13]","[0.17388174807197448, 0.1036503856041122]","[14, 13]","[0.18622107969151835, 0.1523450442730657]"
30,0.7304,144.8,0.389856395278089,"[13, 14]","[0.14392113910185994, 0.11270536692223303]","[14, 13]","[0.1737008640623109, 0.11807228915662832]"
40,0.8864,193.4,0.32766746891296145,"[13, 14]","[0.15063176895306518, 0.08808664259927683]","[14, 13]","[0.1749298034496613, 0.06464099478540095]"
50,0.9024,300.8,0.21835106382979239,"[13, 8]","[0.12535460992907624, 0.005053191489361698]","[14, 4]","[0.19720252167060945, 0.024428684003152578]"
