n_seeded_agents ,frequency_optimal_mode ,longest_run_optimal_mean ,pct_other_mean      ,min_top_strategies ,min_top_freq                                  ,maj_top_strategies ,maj_top_freq
             10 ,               0.00224 ,                    1.08 ,0.6753968253968251  ,"[10, 8]"          ,"[0.07500000000000002, 0.075]"                ,"[4, 0]"           ,"[0.09404761904761906, 0.09047619047619046]"
             20 ,               0.00532 ,                    2.52 ,0.5353383458646612  ,"[2, 8]"           ,"[0.08120300751879697, 0.07218045112781954]"  ,"[4, 0]"           ,"[0.11211361737677508, 0.06566416040100242]"
             30 ,               0.00888 ,                    4.16 ,0.4099599599599604  ,"[8, 2]"           ,"[0.08648648648648637, 0.04954954954954952]"  ,"[4, 8]"           ,"[0.13063063063063035, 0.04544544544544535]"
             40 ,               0.01196 ,                    5.78 ,0.27369007803790435 ,"[8, 14]"          ,"[0.11103678929765862, 0.026086956521739146]" ,"[4, 13]"          ,"[0.14842066146413985, 0.02437755481233737]"
             50 ,               0.01528 ,                    7.6  ,0.15212332751599852 ,"[8, 0]"           ,"[0.13403141361256551, 0.0]"                  ,"[4, 0]"           ,"[0.17009889470622488, 5.817335660267598e-5]"
