n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
0,0.0004,0.2,0.7333333333333334,"[2, 3]","[0.2, 0.2]","[1, 0]","[0.28888888888888886, 0.2]"
10,0.0024,0.8,0.6851851851851852,"[8, 10]","[0.16666666666666666, 0.16666666666666666]","[0, 1]","[0.2037037037037037, 0.12222222222222222]"
20,0.0028,0.6,0.6460317460317461,"[8, 1]","[0.17142857142857143, 0.14285714285714285]","[0, 1]","[0.23809523809523808, 0.15238095238095242]"
30,0.002,0.8,0.6377777777777778,"[8, 11]","[0.31999999999999995, 0.08]","[0, 1]","[0.22222222222222224, 0.16888888888888887]"
40,0.0008,0.4,0.6055555555555555,"[8, 11]","[0.4, 0.1]","[0, 12]","[0.25555555555555554, 0.11111111111111112]"
50,0.0,0.0,,,,,
