n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
0,0.9268,460.4,0.05873974967630592,"[14, 8]","[0.054208027621925406, 0.006214933103150618]","[8, 13]","[0.014434373950990299, 0.009504627631515824]"
10,0.9696,473.2,0.08441969196919819,"[14, 4]","[0.1088283828382839, 0.008168316831683156]","[8, 13]","[0.017794279427943264, 0.012119545287862086]"
20,0.9936,489.8,0.05191000178922796,"[14, 8]","[0.04371980676328543, 0.00966183574879225]","[13, 8]","[0.018554303095366247, 0.012596171050277298]"
30,0.998,498.2,0.04363838788688429,"[14, 8]","[0.043286573146292986, 0.006813627254509008]","[13, 8]","[0.016842574036962932, 0.010625695836116644]"
40,0.9996,499.6,0.01792272464541413,"[14, 8]","[0.006722689075630241, 0.0044017607042817096]","[13, 8]","[0.008252189764794785, 0.0063314214574718575]"
50,1.0,500.0,0.005008888888888876,"[8, 0]","[0.0057599999999999926, 0.0]","[4, 8]","[0.0022666666666666603, 0.0019288888888888839]"
