n_seeded_agents,cooperation_mean,fairness_mean
0,0.8594712,0.9845108564921817
2,0.8588759999999999,0.9736879166713509
4,0.8630367999999999,0.9855714113894496
6,0.8643540000000002,0.9831112347650391
8,0.8646944000000001,0.9814947408105649
10,0.8656027999999999,0.9786631124914305
12,0.8686467999999999,0.98440177986477
14,0.8679723999999999,0.9848414849986256
16,0.8694456,0.9795628366924974
18,0.8699923999999999,0.9885002534650955
20,0.8712432,0.9868267937234301
22,0.871304,0.9870947236930092
24,0.8717124,0.9861318448264844
26,0.8726403999999999,0.9896493311304893
28,0.8732483999999999,0.9947915958070894
30,0.8735135999999999,0.9918428784879927
32,0.8742192000000001,0.99161943380042
34,0.8749376,0.9929204740154185
36,0.8744491999999999,0.9936733049518965
38,0.8757211999999999,0.9939782031319654
40,0.8750707999999999,0.9919438587542354
42,0.8760708000000001,0.9938800130419354
44,0.8757824000000001,0.9938383635014187
46,0.8764708000000001,0.9940661334646175
48,0.8775772,0.9929052849147043
50,0.8770167999999998,0.9960384641358762
