n_seeded_agents,cooperation_mean,fairness_mean
0,0.058207600000000005,0.6010397839687969
2,0.05797719999999999,0.603076355914989
4,0.0584376,0.6086417559209831
6,0.05833039999999999,0.6091048787562635
8,0.0588136,0.6156807798807453
10,0.058412000000000006,0.6237204293122963
12,0.058618,0.6143502954815422
14,0.0589596,0.6218541967643102
16,0.059118800000000006,0.6307100394878085
18,0.059085200000000004,0.6312526362244306
20,0.05935720000000001,0.6278299197242277
22,0.059744399999999996,0.6403036517397162
24,0.06002679999999999,0.6472251206135344
26,0.06104200000000002,0.6477261987512444
28,0.060689599999999996,0.6528495567191036
30,0.061728399999999996,0.6561919497884225
32,0.0616804,0.6645081477730266
34,0.0625484,0.6650873179211991
36,0.0622768,0.6712627223490584
38,0.063176,0.6759146152102198
40,0.06318399999999999,0.6921544194464364
42,0.0633232,0.6731519489611787
44,0.064866,0.6852953781384462
46,0.064356,0.6901081822206263
48,0.0658576,0.6916421326401905
50,0.065554,0.6969925872619741
