n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
10,0.0004,0.2,0.788888888888889,"[1, 2]","[0.2, 0.2]","[5, 0]","[0.1111111111111111, 0.08888888888888889]"
20,0.002,1.0,0.5555555555555556,"[6, 4]","[0.12000000000000002, 0.08]","[4, 0]","[0.11555555555555555, 0.07111111111111111]"
30,0.0032,1.6,0.4083333333333334,"[8, 2]","[0.125, 0.07500000000000001]","[4, 0]","[0.13055555555555556, 0.058333333333333334]"
40,0.0032,1.6,0.2763888888888889,"[8, 3]","[0.15000000000000002, 0.025]","[4, 0]","[0.1277777777777778, 0.025]"
50,0.0036,1.8,0.12098765432098764,"[8, 0]","[0.1111111111111111, 0.0]","[4, 0]","[0.13086419753086417, 0.0]"
0,0.0,0.0,,,,,
