n_seeded_agents,cooperation_mean,fairness_mean
0,0.3828292,0.7908744432697936
2,0.6116835999999999,0.8779353002536368
4,0.7579112,0.9471009771184005
6,0.7685107999999999,0.9490137953749702
8,0.7669440000000001,0.9492613233212518
10,0.8471124,0.9739142314595458
12,0.8512616,0.9765086342164381
14,0.8511660000000001,0.9789061891295552
16,0.8526436000000001,0.9778280712524647
18,0.8552823999999999,0.9815065956711712
20,0.8557824,0.9823054850182906
22,0.856052,0.9812263350946088
24,0.8545572,0.98056918689771
26,0.857448,0.9852694801877199
28,0.8573608,0.9882830648740552
30,0.859038,0.9875656576152941
32,0.8596784,0.9932993660467258
34,0.8598224,0.990410730943893
36,0.8601240000000001,0.9860930109376224
38,0.8624843999999999,0.9908916726073773
40,0.8594847999999999,0.9908174109486092
42,0.8640920000000001,0.9933592928047471
44,0.8631211999999999,0.988183566082977
46,0.8634660000000001,0.9893480938673583
48,0.8612672,0.9855408430182703
50,0.8625183999999999,0.9906363895770772
