n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
0,0.3356,86.0,0.2824394119984087,"[13, 14]","[0.12300357568534075, 0.10893921334922621]","[13, 8]","[0.19793404847040194, 0.02079194808634612]"
10,0.806,158.6,0.2992721257237432,"[13, 14]","[0.12089330024813694, 0.05826302729528569]","[13, 8]","[0.23146401985111756, 0.01959746346843142]"
20,0.9652,241.0,0.22053690657089223,"[13, 8]","[0.10294239535847394, 0.045835060091173205]","[13, 8]","[0.19215361237740353, 0.019560712805636555]"
30,0.9672,303.6,0.19296939619520628,"[13, 8]","[0.14689826302729175, 0.03308519437551718]","[13, 8]","[0.14233985846888803, 0.01527433140336378]"
40,0.9668,253.8,0.14552935227325384,"[13, 8]","[0.11981795614397778, 0.023003723624327777]","[13, 8]","[0.08457683997609736, 0.021008596515423736]"
50,0.9128,284.4,0.09262342973999242,"[13, 8]","[0.11191936897458353, 0.018492550394390916]","[13, 4]","[0.027860551173435374, 0.011831726555652898]"
