n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
0,0.03932,3.62,0.5331863908669643,"[14, 13]","[0.2091556459816867, 0.12960325534079456]","[13, 14]","[0.17092799819147858, 0.16150107381033182]"
10,0.28772,31.7,0.5194031234070313,"[14, 15]","[0.1789239538440284, 0.08739051855971103]","[13, 14]","[0.1770919257920522, 0.15207068600645857]"
20,0.59644,89.34,0.47202140105365986,"[14, 13]","[0.1791831533767004, 0.09344779022199297]","[14, 13]","[0.1686465621949534, 0.14407409891281425]"
30,0.70996,141.42,0.3890741888431938,"[14, 13]","[0.13977125471858518, 0.10618062989465676]","[14, 13]","[0.1687093482574966, 0.10681290338736289]"
40,0.8542,186.68,0.33464450167797805,"[14, 13]","[0.12967454928587374, 0.1205806602669141]","[14, 13]","[0.17150394130961122, 0.0711048674523275]"
50,0.91076,244.38,0.2399431976224874,"[13, 14]","[0.13870613553515027, 0.04023013746761206]","[14, 4]","[0.18288706379532174, 0.025158963698207627]"
