n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
0,0.90028,430.62,0.06743432907292349,"[14, 11]","[0.06353578886569226, 0.024516816990269263]","[8, 2]","[0.009064834150362956, 0.005607144443951007]"
10,0.96716,464.16,0.07073953063034451,"[14, 8]","[0.0862732122916681, 0.006030026055668154]","[13, 8]","[0.013889003772787135, 0.012714430796237323]"
20,0.97624,478.68,0.05603585639232578,"[14, 8]","[0.05453576989265511, 0.007031057936572927]","[13, 8]","[0.0170194942955746, 0.009824542234604884]"
30,0.99492,493.76,0.04616607923808729,"[14, 8]","[0.04838982028706268, 0.004961202910786845]","[13, 8]","[0.016629366068517264, 0.00798545500029026]"
40,0.99992,499.62,0.022816047506024995,"[14, 8]","[0.018049443955515804, 0.0034722777822226054]","[13, 8]","[0.009927905343538362, 0.005147967392947511]"
50,1.0,500.0,0.005203111111110853,"[8, 14]","[0.0036400000000000295, 0.0004159999999999998]","[8, 4]","[0.002921777777778002, 0.002884444444444657]"
