n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
0,0.5396,94.8,0.37118853471707736,"[14, 13]","[0.1476649369903621, 0.11252779836916227]","[13, 8]","[0.33781401861461124, 0.00311341734618235]"
10,0.7036,142.0,0.3126839744804527,"[13, 14]","[0.15974985787378973, 0.06230812961910216]","[13, 8]","[0.2793127408249647, 0.008098035499968397]"
20,0.934,215.6,0.2698786581013646,"[13, 14]","[0.10706638115631512, 0.055246252676660015]","[13, 8]","[0.24777539852486766, 0.01007851534618127]"
30,0.9128,279.8,0.21929593923459223,"[13, 15]","[0.17957931638912725, 0.027695004382121104]","[13, 8]","[0.16927646314149647, 0.005735709416690995]"
40,0.9368,227.6,0.16470253344719096,"[13, 14]","[0.17976088812979846, 0.01246797608881295]","[13, 8]","[0.1123446247272059, 0.004459626150488648]"
50,0.9172,313.8,0.0998110190434639,"[13, 8]","[0.155342346271257, 0.003488879197557786]","[13, 8]","[0.034326694771528034, 0.00313029994669767]"
