n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
0,0.0892,7.8,0.6218734429496761,"[14, 15]","[0.21614349775784716, 0.09865470852017921]","[13, 14]","[0.2385650224215248, 0.1444942700548078]"
10,0.4536,50.0,0.5643934940231217,"[14, 15]","[0.24409171075837655, 0.11305114638448081]","[14, 13]","[0.1922986478542039, 0.18187340779933434]"
20,0.6416,116.6,0.4872679412579663,"[14, 15]","[0.18615960099750295, 0.10847880299251833]","[14, 13]","[0.190385148240511, 0.13888888888889053]"
30,0.7884,158.0,0.418405772591472,"[13, 14]","[0.16793505834601427, 0.10806697108066864]","[14, 13]","[0.18809403010316442, 0.11598173515981935]"
40,0.9072,221.6,0.3245835782872916,"[13, 14]","[0.14118165784832082, 0.07592592592592518]","[14, 13]","[0.1959827552420159, 0.06439349402312494]"
50,0.8812,318.6,0.23407474655772775,"[13, 8]","[0.1496141625056716, 0.003540626418520202]","[14, 13]","[0.19909214707217618, 0.028778937812075276]"
