n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
0,0.3952,64.2,0.4077710301394513,"[13, 14]","[0.21396761133603148, 0.10101214574898874]","[13, 8]","[0.3792172739541149, 0.006140350877192969]"
10,0.6532,84.4,0.3342995169082188,"[13, 14]","[0.19301898346601026, 0.07960808328230305]","[13, 8]","[0.27008232972715535, 0.009961216574811164]"
20,0.932,286.6,0.2786886027658595,"[13, 14]","[0.1656652360514982, 0.06120171673819762]","[13, 8]","[0.2404291845493562, 0.008297567954220292]"
30,0.9156,301.2,0.23988155914762216,"[13, 15]","[0.19038881607688438, 0.031105286151157915]","[13, 9]","[0.18635988544245544, 0.00672782874617735]"
40,0.9164,253.6,0.16389252631068216,"[13, 14]","[0.17642950676559982, 0.01466608467917937]","[13, 8]","[0.11410834667054832, 0.004054512827974186]"
50,0.9168,285.2,0.11125169672289793,"[13, 8]","[0.17862129144851138, 0.004624781849912737]","[13, 8]","[0.034836145045570095, 0.0018712429707194059]"
