n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
0,0.376,176.8,0.053758865248228024,"[14, 8]","[0.041702127659574484, 0.021489361702127622]","[8, 4]","[0.022789598108746978, 0.01217494089834512]"
10,0.9664,477.8,0.07767200147166929,"[14, 8]","[0.07243377483443665, 0.020364238410596088]","[8, 4]","[0.024954010301692843, 0.01145143487858716]"
20,0.9928,494.4,0.05881457605873341,"[14, 8]","[0.03271555197421459, 0.02352941176470598]","[8, 13]","[0.01848867400841649, 0.01569522786283482]"
30,0.9972,498.0,0.04973481303204475,"[14, 8]","[0.028640192539109696, 0.01700762133975133]","[8, 13]","[0.016918482863128255, 0.014966350225074667]"
40,0.9992,499.6,0.038924472911662934,"[8, 14]","[0.01785428342674143, 0.006565252201761399]","[8, 4]","[0.01950004448002885, 0.014180233075349257]"
50,1.0,500.0,0.01955555555555626,"[8, 0]","[0.017600000000000032, 0.0]","[4, 8]","[0.011439999999999964, 0.009999999999999967]"
