n_seeded_agents ,frequency_optimal_mode ,longest_run_optimal_mean ,pct_other_mean      ,min_top_strategies ,min_top_freq                                  ,maj_top_strategies ,maj_top_freq
             10 ,               0.00116 ,                    0.58 ,0.7015325670498086  ,"[2, 1]"           ,"[0.11034482758620691, 0.05517241379310344]"  ,"[0, 4]"           ,"[0.08352490421455938, 0.08275862068965517]"
             20 ,               0.00256 ,                    1.28 ,0.537326388888889   ,"[8, 2]"           ,"[0.07187500000000002, 0.06875000000000002]"  ,"[4, 0]"           ,"[0.09756944444444442, 0.07395833333333335]"
             30 ,               0.00352 ,                    1.76 ,0.4282828282828284  ,"[8, 2]"           ,"[0.08636363636363642, 0.04090909090909092]"  ,"[4, 1]"           ,"[0.11792929292929287, 0.04191919191919191]"
             40 ,               0.00344 ,                    1.72 ,0.2746770025839791  ,"[8, 3]"           ,"[0.09534883720930236, 0.027906976744186046]" ,"[4, 0]"           ,"[0.1268733850129199, 0.022997416020671832]"
             50 ,               0.0036  ,                    1.8  ,0.14469135802469119 ,"[8, 0]"           ,"[0.1355555555555556, 0.0]"                   ,"[4, 0]"           ,"[0.15382716049382722, 0.0]"
