n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
10,0.0006,0.3,0.692592592592593,"[2, 1]","[0.11999999999999998, 0.06666666666666667]","[4, 5]","[0.09037037037037036, 0.06962962962962962]"
20,0.00236,1.18,0.5519774011299435,"[2, 8]","[0.08813559322033902, 0.06440677966101696]","[4, 0]","[0.09755178907721279, 0.06930320150659133]"
30,0.00324,1.62,0.44156378600823043,"[8, 2]","[0.10617283950617286, 0.041975308641975316]","[4, 1]","[0.13278463648834013, 0.040877914951988996]"
40,0.00308,1.54,0.27691197691197683,"[8, 2]","[0.08831168831168835, 0.023376623376623374]","[4, 0]","[0.12871572871572867, 0.019047619047619056]"
50,0.00352,1.76,0.1618686868686866,"[8, 0]","[0.1454545454545455, 0.0]","[4, 0]","[0.17828282828282835, 0.0]"
