n_seeded_agents,frequency_optimal_mode,longest_run_optimal_mean,pct_other_mean,min_top_strategies,min_top_freq,maj_top_strategies,maj_top_freq
0,0.8344,387.6,0.0972408650260986,"[14, 4]","[0.16404602109299768, 0.0036433365292425713]","[8, 13]","[0.0076382230744646675, 0.0064876957494407]"
10,0.9552,468.6,0.04489112227805644,"[14, 4]","[0.03944723618090467, 0.006951423785594632]","[13, 8]","[0.012925739810161886, 0.012125442024939476]"
20,0.9936,494.0,0.05822597960279074,"[14, 8]","[0.06022544283413836, 0.007890499194847005]","[13, 8]","[0.02198067632850276, 0.010064412238325255]"
30,0.998,498.2,0.03704742818971261,"[14, 8]","[0.029899799599198605, 0.006813627254509008]","[13, 8]","[0.018721888220886343, 0.009111556446225758]"
40,0.9996,499.6,0.018189498021431178,"[14, 8]","[0.006722689075630241, 0.004001600640256101]","[13, 8]","[0.010928815970832744, 0.005504423991818932]"
50,1.0,500.0,0.0037511111111111005,"[8, 14]","[0.0028800000000000015, 8.0e-5]","[8, 4]","[0.002337777777777771, 0.0021422222222222164]"
