n_seeded_agents,cooperation_mean,fairness_mean
0,0.05825088000000002,0.6008094202315282
2,0.057965600000000006,0.5994127505399192
4,0.05811328,0.602942457391974
6,0.0582044,0.6096934809538314
8,0.058530000000000006,0.6114489301487297
10,0.05842464000000002,0.6159640098470089
12,0.05866624,0.6123519349027342
14,0.05887592,0.6205671711735701
16,0.05928824000000002,0.6274865725047563
18,0.05933320000000001,0.6298201292378913
20,0.059515599999999995,0.6305559442322406
22,0.05990144000000001,0.6351433545753966
24,0.060206240000000015,0.6390046103584414
26,0.060784800000000014,0.6426429165144637
28,0.060930959999999985,0.653183602296073
30,0.06167552,0.6585099147037546
32,0.06201072,0.6598347700555833
34,0.06283296,0.6710747941262215
36,0.06299072,0.6757531824875777
38,0.06340239999999998,0.6797196838830635
40,0.06382040000000001,0.6822399648433213
42,0.06414816,0.6839555935314903
44,0.06498503999999997,0.6943209725325898
46,0.06511448,0.7000299608736041
48,0.0659396,0.6985942802398819
50,0.06633768000000001,0.6985136641564695
