n_seeded_agents,cooperation_mean,fairness_mean
0,0.75939896,0.9471036855324251
2,0.7325037599999998,0.9268954188771604
4,0.8268367999999997,0.9669074946700214
6,0.8297727199999998,0.9668576878949311
8,0.8639563199999999,0.9834938084182322
10,0.8647555199999999,0.9838015028623824
12,0.8656864000000003,0.9821907665369384
14,0.86695912,0.9858262149259888
16,0.86705376,0.9852928434341698
18,0.8682068,0.985786655914289
20,0.8687748000000002,0.9883303758770797
22,0.8695664,0.9870017425460282
24,0.86998824,0.9890872793077115
26,0.8707846400000002,0.9889479069844644
28,0.8712571200000001,0.9907302294687865
30,0.8717249600000001,0.9898772871707486
32,0.8721938399999998,0.9904743590183145
34,0.87259608,0.9915296218948562
36,0.8724474400000001,0.9920486934000168
38,0.8730452,0.9922512740765751
40,0.8728851999999999,0.9920370668117219
42,0.8739216000000001,0.9929767141957825
44,0.87379928,0.9931931501601535
46,0.87408864,0.9929675338752244
48,0.87451232,0.9913701817373102
50,0.8746847200000003,0.9937802497257622
