n_seeded_agents,cooperation_mean,fairness_mean
0,0.7701814399999998,0.9501750298635794
2,0.6958920800000002,0.9113739818412963
4,0.7897765599999998,0.9524701101770755
6,0.8085744000000001,0.9588653820740997
8,0.8579508000000001,0.9818265580229928
10,0.8595396,0.9814772149927158
12,0.8610879200000001,0.9832881201164279
14,0.8619343999999998,0.984111064232794
16,0.8627722399999997,0.982439870125737
18,0.8633938399999999,0.9830627727180601
20,0.8640856000000001,0.9855380348763835
22,0.8653819999999998,0.9856499753344853
24,0.8652416800000001,0.9871610854744272
26,0.8670230399999997,0.9883345426543451
28,0.8670091999999999,0.9895554531182819
30,0.8671156000000001,0.9882519719726013
32,0.8684915200000003,0.9891872740632938
34,0.8687476000000001,0.9913413762473092
36,0.8690443199999999,0.9914343299316342
38,0.8689328800000001,0.992083249621206
40,0.8694019199999998,0.9923595315487015
42,0.87023744,0.9914887026670511
44,0.8697305600000003,0.991491881467846
46,0.8701267200000001,0.9912624249340216
48,0.87034968,0.9900259221645232
50,0.8706802399999998,0.991729452801263
