n_seeded_agents,cooperation_mean,fairness_mean
0,0.39804976,0.7947050072355561
2,0.5189626400000001,0.8420658979918214
4,0.6730691200000001,0.9028873473722929
6,0.6909632000000001,0.9175234844119996
8,0.8316604800000001,0.975668585590532
10,0.8338621599999999,0.9741857391162584
12,0.85136136,0.9788214453736177
14,0.8527461599999999,0.9807169446534587
16,0.8532953600000003,0.9803706990824853
18,0.85466016,0.981724518459789
20,0.8552593599999999,0.9830011928374432
22,0.8566382400000002,0.9824054411705362
24,0.8564671999999998,0.9841138487760466
26,0.8578092799999998,0.9865038147430031
28,0.85798592,0.98646505945927
30,0.858582,0.9857179040479335
32,0.8597784800000001,0.9892302021372076
34,0.8596569599999997,0.9886371327670641
36,0.8599790399999998,0.9870104799127529
38,0.8603158399999999,0.9901335158491779
40,0.8603737600000001,0.990011166870384
42,0.8622749599999999,0.9908366500828687
44,0.8616190399999999,0.9885272903915348
46,0.8621199200000003,0.9905247895714657
48,0.8615910400000001,0.9870949535882622
50,0.86225488,0.990350292543999
