norm,cooperation,fairness
0,0.08413552,0.7764955127928148
1,0.08632192000000001,0.7391827657069797
2,0.09334152000000001,0.7800873473354403
3,0.11618184,0.7449430047596077
4,0.08378176,0.769889522569396
5,0.08701183999999997,0.7552784797370561
6,0.09984095999999999,0.7325173536984309
7,0.14052696000000003,0.75891549986881
8,0.08360184,0.7761577867065881
9,0.08561744,0.734541092523973
10,0.08953104000000002,0.770050781049725
11,0.0924648,0.7311080300168258
12,0.08386519999999999,0.7391781465704771
13,0.08700271999999998,0.7293617301785662
14,0.09534664000000001,0.7262612094763493
15,0.09733384,0.7138508691453943
16,0.09086943999999995,0.6158352231050955
17,0.08632752,0.6545755923828448
18,0.13650728000000004,0.7486218737388609
19,0.11132544000000007,0.7276122467021487
20,0.08938624,0.647081630929403
21,0.08598680000000002,0.7021880563241117
22,0.14556136,0.7381754093725986
23,0.11954176,0.7347233048266181
24,0.08887584,0.7387422852330997
25,0.08557696000000002,0.6859876874773793
26,0.09568640000000002,0.8318889683335662
27,0.09477824,0.7799963523335129
28,0.08658727999999999,0.7119697120168752
29,0.08662759999999999,0.7011953044365665
30,0.096268,0.7280488165706948
31,0.09663176000000001,0.7200646986628293
32,0.09287831999999996,0.6885426815290439
33,0.09095864000000001,0.745654439818835
34,0.08684951999999997,0.6982703831383494
35,0.08646591999999999,0.7313822509479738
36,0.09152904,0.7175740060014608
37,0.0902068,0.7566786348103882
38,0.08637328,0.725885261501866
39,0.08927832000000001,0.7350252833827013
40,0.08731967999999998,0.6603807831351938
41,0.08603136000000002,0.7230143338796414
42,0.08847800000000001,0.6934670055338032
43,0.08973624,0.7086093038529316
44,0.08588056,0.722176799144455
45,0.08830936000000003,0.7298906365463198
46,0.09131360000000001,0.712417206381108
47,0.09516824,0.7171626686069232
48,0.09401463999999998,0.7236885861156459
49,0.09088384000000001,0.7272882893485039
50,0.08864408000000003,0.7230284000898854
51,0.08645871999999998,0.7269494406077063
52,0.09102679999999996,0.7182612776554536
53,0.09029288000000003,0.7297833999847518
54,0.08741432000000002,0.719902028790462
55,0.08891360000000001,0.7275226970512542
56,0.08858495999999995,0.7132678200209702
57,0.08640392000000002,0.7276604241882428
58,0.09080288000000003,0.7334566966325595
59,0.09177184000000001,0.7333241073344362
60,0.08614871999999998,0.7208812136002938
61,0.08908624,0.7187421712580613
62,0.09214623999999999,0.7222881405948963
63,0.09413368000000003,0.7185751450894107
64,0.08449383999999999,0.7660171121382985
65,0.08749031999999998,0.6270357937282588
66,0.09364816000000001,0.7827395770817137
67,0.17474312000000006,0.7554260528581825
68,0.08413551999999999,0.7629272172321947
69,0.08785464000000001,0.6923573841380279
70,0.12064504000000001,0.7260136026619819
71,0.13451639999999998,0.743899247579192
72,0.08482824000000001,0.7708203631317706
73,0.08597136,0.7030390757424461
74,0.09164856,0.7782425755980458
75,0.09343480000000001,0.7468279513085403
76,0.08441359999999999,0.7282018835558636
77,0.08803784,0.700492042107194
78,0.09695991999999999,0.7260319812198368
79,0.10402392,0.7151973479188751
80,0.09370104,0.6267299944959835
81,0.08869615999999998,0.5940994570315145
82,0.10078920000000004,0.7664725307688793
83,0.11986919999999995,0.7030214734840595
84,0.09074448,0.655122042163231
85,0.08685992,0.6548780869922893
86,0.13389136000000001,0.6880113922272842
87,0.10299784,0.702621865766368
88,0.08909864,0.7283726226105507
89,0.08593136000000001,0.6821083627776019
90,0.09379895999999999,0.8170552736973251
91,0.09527744000000003,0.7915493973760883
92,0.08640960000000002,0.7014027153182884
93,0.08671368000000002,0.6372168201378589
94,0.09395727999999998,0.7262083881646059
95,0.09841464000000003,0.6921173720689628
96,0.09689071999999997,0.6969629684372107
97,0.09062400000000002,0.7279252745174848
98,0.08900440000000001,0.7313309902496979
99,0.08715808000000001,0.7299540213715963
100,0.09275576000000005,0.716402102959703
101,0.09035447999999997,0.7319283124809226
102,0.08657168,0.7245027647756285
103,0.08879407999999998,0.7274712120825204
104,0.08914239999999998,0.7087716664958877
105,0.0866936,0.718841739378896
106,0.09007944,0.7350953689223705
107,0.09059656000000002,0.7258044462142828
108,0.08667271999999998,0.7265034742466253
109,0.09003903999999999,0.7045742481647348
110,0.09254248000000002,0.7132459646305541
111,0.09735432,0.6981230633017161
112,0.09521784,0.7211927368836999
113,0.09060864000000002,0.7023220580354281
114,0.08918688,0.7407999404875867
115,0.08648256,0.7246497870092878
116,0.09149776000000001,0.7162959268316216
117,0.08844496000000002,0.6975697849087455
118,0.08714680000000001,0.7222096530442101
119,0.08698744000000001,0.6981492081634394
120,0.08934808,0.719872150400452
121,0.0860236,0.7291231166644491
122,0.09051960000000003,0.7506498032524039
123,0.09143408000000001,0.758379449989421
124,0.08611824,0.7214105331358103
125,0.08828040000000004,0.6586831209491545
126,0.09161959999999998,0.7190166955031029
127,0.09389336000000004,0.681739260925348
128,0.10018295999999999,0.911020440197612
129,0.19123240000000002,0.5442714432422762
130,0.5413836,0.377237935139806
131,0.5409571199999998,0.5326706752257526
132,0.11532999999999997,0.8615688094631458
133,0.416398,0.21550038470743593
134,0.6321624,0.31862192184035637
135,0.54218248,0.535074347625136
136,0.08528143999999999,0.792761225220065
137,0.08669624,0.7295759945197089
138,0.4375836000000002,0.6233796669863243
139,0.48101216,0.6011400120099666
140,0.08598136,0.7452027720445339
141,0.09072543999999999,0.7632130452350672
142,0.4372592,0.7847778889435876
143,0.42772871999999995,0.49624317999597717
144,0.47391047999999997,0.5020640845172305
145,0.18316832000000002,0.7918420999784606
146,0.5848193599999999,0.5697433667902275
147,0.5384888000000001,0.5118252281286743
148,0.5164051999999999,0.6220254321514174
149,0.46534864,0.25219242614411763
150,0.7241248800000001,0.9310886128582956
151,0.6982218400000001,0.5577082752536849
152,0.09051616,0.7645737660051924
153,0.08724008000000001,0.7285665607063533
154,0.46918824000000003,0.2540260458807252
155,0.18497032000000002,0.7863175891476479
156,0.08719752000000001,0.7246089460898204
157,0.09086480000000004,0.7674865872158624
158,0.52053208,0.6160660280640144
159,0.46477224,0.4970973254777569
160,0.09759584000000002,0.6910526848351172
161,0.09351399999999999,0.7720121553011028
162,0.10804520000000001,0.6895894469114018
163,0.11243231999999997,0.7068996684089504
164,0.09483864,0.7187633673197058
165,0.09306968000000003,0.8071679214843449
166,0.09964671999999998,0.7355847751727308
167,0.09101768000000002,0.8002774095730314
168,0.08646808000000002,0.6374854993857353
169,0.08565264,0.6788212621649953
170,0.0867124,0.6509225066666177
171,0.08825776000000002,0.5963781282394489
172,0.08598064,0.705572610153781
173,0.08917880000000002,0.722644435225518
174,0.09078704,0.6496163074511304
175,0.09306464,0.6224164641507884
176,0.09809008000000001,0.7194866296129806
177,0.09454263999999998,0.7851767458260491
178,0.10132191999999998,0.7308074139079679
179,0.10795336000000004,0.7236519506150247
180,0.09516407999999998,0.7282190559142062
181,0.09624944,0.8408924945382887
182,0.14431255999999995,0.7431793323263696
183,0.13751136,0.7610784216555941
184,0.08643376,0.6923034786097818
