seed,norm,cooperation,fairness
6,5,0.08312,0.8551308678714985
7,5,0.089824,0.8509727756118228
8,5,0.090304,0.800976800976801
9,5,0.087268,0.7410488763898654
10,5,0.085012,0.7176597514688295
11,5,0.086072,0.6818868619863645
12,5,0.088428,0.7511972713049283
13,5,0.08828,0.7029796303127177
14,5,0.091456,0.7443854091313494
15,5,0.084556,0.7562010786070196
16,5,0.08312,0.7528503058188739
17,5,0.08874,0.710099327534086
18,5,0.087104,0.701092835030398
19,5,0.087552,0.6783568780683299
20,5,0.090716,0.77874998910077
21,5,0.088488,0.7938592304720348
22,5,0.089808,0.7811867984350299
23,5,0.086624,0.7444852699089987
24,5,0.083232,0.7051769905718358
25,5,0.087256,0.8359237069838789
26,5,0.087624,0.7797388278884823
27,5,0.084568,0.8099082746436264
28,5,0.084412,0.7725991066443327
29,5,0.09006,0.8689951051521659
30,5,0.08986,0.7757819011273414
31,5,0.08654,0.7701516180131251
32,5,0.085272,0.7674382398058475
33,5,0.087556,0.7107331481064304
34,5,0.083092,0.7530622810180178
35,5,0.089432,0.8336197263772689
36,5,0.082296,0.8483180998569919
37,5,0.091288,0.7350883697935978
38,5,0.084652,0.7875682383304787
39,5,0.091296,0.8130497181394052
40,5,0.087564,0.7219431548147583
41,5,0.085168,0.7706912578112777
42,5,0.084012,0.7314692234658536
43,5,0.089596,0.7445964072262973
44,5,0.087904,0.7180467518529697
45,5,0.082896,0.7452879136419778
46,5,0.0837,0.6677543694219046
47,5,0.086136,0.6867695069184564
48,5,0.088384,0.7393892738003592
49,5,0.087476,0.6957737355848266
50,5,0.08742,0.6804785879000809
1,6,0.089348,0.6668021019556856
2,6,0.084304,0.7693300284995497
3,6,0.085996,0.7138380466341788
4,6,0.092304,0.7483302296710118
5,6,0.08486,0.6872256089912445
6,6,0.084936,0.8007672707492343
7,6,0.113,0.7878832880742249
8,6,0.086444,0.7381108316741765
9,6,0.100768,0.7160765428045021
10,6,0.087044,0.6980284739264437
11,6,0.086996,0.6999042895675629
12,6,0.672112,0.48385303034842897
13,6,0.089564,0.686232382942019
14,6,0.091836,0.7514903316300973
15,6,0.081732,0.7133653445237998
16,6,0.084064,0.6691376358723676
17,6,0.089296,0.6954209167800699
18,6,0.084116,0.6996298866527874
19,6,0.084128,0.6645195128747275
20,6,0.087836,0.7859801545151655
21,6,0.08714,0.7320595356358023
22,6,0.086072,0.7430828470485491
23,6,0.088648,0.7244655581947743
24,6,0.087392,0.6894751842351696
25,6,0.088752,0.7951873939129883
26,6,0.09308,0.727024604203685
27,6,0.095244,0.7869427472278796
28,6,0.083132,0.7789150119671296
29,6,0.086348,0.8112131785705808
30,6,0.089808,0.7576398562314055
31,6,0.088784,0.7181498916535904
32,6,0.085424,0.7584682691568151
33,6,0.087512,0.7577530668078721
34,6,0.082792,0.7346027076353135
35,6,0.099912,0.7981055458487026
36,6,0.094408,0.7900381386311668
37,6,0.084432,0.7545384951881015
38,6,0.082336,0.7416874968351955
39,6,0.088068,0.8077187027608529
40,6,0.088576,0.7615588396278051
41,6,0.08684,0.7336688414162246
42,6,0.08282,0.7450334472745984
43,6,0.085156,0.7198412698412698
44,6,0.090116,0.7271772609819122
45,6,0.08442,0.7527857370264247
46,6,0.084824,0.7036581669462908
47,6,0.086036,0.752981770135876
48,6,0.08728,0.7529788619603288
49,6,0.088352,0.6895558697131903
50,6,0.08766,0.7036334795647755
1,7,0.091524,0.7754057428214732
2,7,0.099064,0.7681447556833647
3,7,0.088724,0.7518285091814503
4,7,0.091628,0.7131782015912999
5,7,0.087688,0.7116941285390784
6,7,0.087308,0.8402880694311259
7,7,0.734716,0.9154013096003204
8,7,0.091888,0.7269771778345292
9,7,0.115336,0.7049762884133992
10,7,0.727576,0.8941613548997213
11,7,0.090064,0.7279423638283337
12,7,0.09752,0.800870335041584
13,7,0.342004,0.7907220675236033
14,7,0.093944,0.7704954954954955
15,7,0.08528,0.7075349742093204
16,7,0.089636,0.7118717380570552
17,7,0.085624,0.7252241106118817
18,7,0.089068,0.6828062419034716
19,7,0.087016,0.6874059391403295
20,7,0.091184,0.7928822267165448
21,7,0.090328,0.7411684782608696
22,7,0.095208,0.7265155780780781
23,7,0.110024,0.7762937153181055
24,7,0.088112,0.6856192129629629
25,7,0.098536,0.7503079188570674
26,7,0.093436,0.7979408814169088
27,7,0.393776,0.8527410076325247
28,7,0.087036,0.7305971400203732
29,7,0.08976,0.9096776802276506
30,7,0.088656,0.7500615197316445
31,7,0.09272,0.747280238318603
32,7,0.087596,0.774412544368064
33,7,0.091976,0.7481885637646316
34,7,0.086324,0.7613067245197254
35,7,0.09532,0.7776037393401456
36,7,0.087924,0.7830433858990178
37,7,0.102336,0.729141122204706
38,7,0.086084,0.7650084133962981
39,7,0.092084,0.7589848900983529
40,7,0.09224,0.781580124565569
41,7,0.097832,0.7510879229777951
42,7,0.089084,0.7451364859669357
43,7,0.0883,0.7319931932084855
44,7,0.087924,0.7036336904011762
45,7,0.085996,0.7371429823984568
46,7,0.086036,0.7485955118554343
47,7,0.092092,0.7078921260558342
48,7,0.693216,0.8800300188666417
49,7,0.099784,0.688055956004058
50,7,0.089816,0.7049231962009983
1,8,0.084816,0.7831196581196582
2,8,0.083732,0.7721751034971002
3,8,0.088176,0.7379106112737294
4,8,0.084728,0.7928277784890253
5,8,0.082612,0.711586466964096
6,8,0.081568,0.8933714266949084
7,8,0.08836,0.8418244826941605
8,8,0.084948,0.8211540337528046
9,8,0.085144,0.7149201667809297
10,8,0.08382,0.7569142399513967
11,8,0.083064,0.7476267931151729
12,8,0.084664,0.7863617518468264
13,8,0.085296,0.7156568789633306
14,8,0.087176,0.8146779377823089
15,8,0.08142,0.7943604191379992
16,8,0.080692,0.6871872664116431
17,8,0.083428,0.7291854119943239
