norm,run,cooperation,fairness,strategies
0,1,0.1150042,0.3869642228470313,"[13, 8, 13, 8, 10, 8, 8, 8, 13, 8, 8, 8, 8, 8, 13, 8, 8, 13, 8, 13, 8, 8, 8, 8, 8, 8, 13, 8, 13, 8, 13, 8, 8, 8, 8, 8, 8, 8, 13, 13, 8, 13, 13, 8, 13, 13, 13, 8, 8, 13]"
0,2,0.0456716,0.36382831465555593,"[12, 12, 12, 8, 5, 12, 12, 8, 12, 12, 12, 12, 12, 12, 12, 12, 12, 5, 12, 12, 12, 12, 12, 12, 5, 8, 8, 12, 5, 12, 12, 8, 12, 12, 5, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 8, 12, 12, 5]"
0,3,0.020602,0.10874861919200973,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 13, 4, 4, 4, 13, 4, 4, 13, 12, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 13, 4, 4, 4, 4, 4, 4, 12, 4, 4, 4, 4, 4, 8, 4, 4, 4, 4, 4, 4, 4]"
0,4,0.1352264,0.6271104933776228,"[0, 0, 8, 0, 10, 8, 7, 0, 0, 0, 0, 9, 9, 1, 1, 12, 9, 8, 14, 12, 12, 0, 12, 0, 1, 12, 0, 0, 0, 7, 0, 12, 10, 0, 8, 12, 0, 12, 0, 12, 12, 0, 10, 8, 0, 0, 10, 8, 12, 0]"
0,5,0.0561602,0.9737340154125581,"[8, 8, 8, 8, 8, 8, 8, 8, 13, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 13, 2, 8, 8, 8, 8, 8, 8, 8, 8]"
0,6,0.158848,0.574670998974867,"[0, 0, 0, 10, 0, 14, 8, 0, 0, 0, 0, 0, 8, 3, 1, 0, 0, 0, 0, 0, 0, 10, 0, 10, 0, 0, 3, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
0,7,0.0101782,0.9664716275765041,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,8,0.0198314,0.5670570408316027,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
0,9,0.1113528,0.9305017230559195,"[12, 12, 12, 11, 12, 7, 12, 12, 12, 12, 12, 12, 12, 4, 12, 4, 12, 12, 12, 12, 12, 12, 4, 4, 12, 4, 12, 12, 12, 12, 4, 7, 12, 12, 4, 7, 6, 12, 12, 4, 4, 12, 12, 4, 4, 12, 12, 12, 12, 12]"
0,10,0.0342542,0.9308037087281648,"[12, 0, 12, 12, 12, 12, 12, 0, 12, 0, 12, 0, 12, 12, 12, 0, 12, 0, 0, 12, 3, 12, 12, 0, 0, 0, 0, 12, 12, 0, 0, 12, 0, 12, 12, 0, 0, 12, 0, 0, 0, 0, 12, 12, 0, 12, 12, 12, 0, 0]"
0,11,0.0196038,0.9669566620106098,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]"
0,12,0.0100918,0.9953999207641855,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
