seed,norm,cooperation,fairness
1,0,0.080448,0.7770711888358948
2,0,0.0772,0.7961582080255727
3,0,0.079192,0.7680087920871217
4,0,0.079944,0.7503636892638931
5,0,0.077324,0.7462439987138121
6,0,0.076284,0.8356106581282501
7,0,0.0823,0.7901301488745435
8,0,0.08158,0.8010342417889588
9,0,0.078816,0.6820537592206826
10,0,0.077576,0.7714523000961336
11,0,0.07874,0.7903715152555956
12,0,0.080084,0.7946525515743756
13,0,0.079456,0.7415079863290787
14,0,0.082612,0.8021424070573409
15,0,0.078912,0.7747691616850495
16,0,0.076696,0.7051120369926941
17,0,0.079648,0.722005177688868
18,0,0.077784,0.7651604763031308
19,0,0.07778,0.701356898874996
20,0,0.077336,0.7833292853590553
21,0,0.078668,0.7924333264420096
22,0,0.078496,0.7878095565289588
23,0,0.077916,0.7689675036427094
24,0,0.07824,0.7192373614361293
25,0,0.082296,0.8043416595751781
26,0,0.078928,0.7970624277257115
27,0,0.078268,0.8315928937067147
28,0,0.077848,0.8220328316881529
29,0,0.08224,0.8556960388415713
30,0,0.078112,0.8154514074232234
31,0,0.07656,0.7577583712101867
32,0,0.079336,0.7964936364936365
33,0,0.080464,0.7856235372785022
34,0,0.074608,0.7457577480317673
35,0,0.078816,0.8616016883261136
36,0,0.0732,0.8033116595149312
37,0,0.079676,0.8000080047113444
38,0,0.077664,0.783723060437946
39,0,0.079088,0.8532296905959458
40,0,0.079716,0.7012274346157963
41,0,0.07882,0.7901730072153043
42,0,0.077004,0.7401051252715183
43,0,0.07778,0.7684148630617184
44,0,0.081024,0.7200065649105531
45,0,0.0757,0.7572670750453117
46,0,0.079396,0.682678224181801
47,0,0.080592,0.7612807897770633
48,0,0.077792,0.7702997445005296
49,0,0.078448,0.7854579533246474
50,0,0.078552,0.7470571205392503
1,150,0.08446,0.7496101990277905
2,150,0.084128,0.7467382492849385
3,150,0.831608,0.949851074054847
4,150,0.84912,0.9679651059655859
5,150,0.84514,0.9697549000011142
6,150,0.081516,0.7566157842072769
7,150,0.859924,0.9572354264460015
8,150,0.85154,0.9757825125138871
9,150,0.856112,0.9529711299549241
10,150,0.0833,0.6863347645237103
11,150,0.84504,0.9696729171350311
12,150,0.08568,0.7487154784842646
13,150,0.84758,0.9732307275947073
14,150,0.848508,0.969532279099885
15,150,0.85166,0.9377024992901586
16,150,0.0816,0.6988104277398126
17,150,0.853076,0.9914617506339269
18,150,0.852428,0.9618269761402368
19,150,0.079928,0.70842369153632
20,150,0.08118,0.7130094919039643
